denominationUniteLegale,siren,trancheEffectifsUniteLegale
MARIETTA-SEEMAR,300986585,21
TRANS LIVRES,300987575,21
SIDEL PACKING SOLUTIONS,300989001,32
TRANSPORTS LASSALLE ET COMPAGNIE,300990629,21
MOUCHET BURRY,300990686,22
LYSEO,301010492,21
KEOS ANNEMASSE BY AUTOSPHERE,301013124,21
N'4 MOBILITES,301027066,22
SOVEA 94,301027314,21
ROBERT THEBAULT,301029922,22
PERMASWAGE,301052882,22
ETABLISSEMENTS ANTOINE MORTELECQUE,301053682,21
CENTRE INTERNATIONAL DE CREATIONS THEATRALES,301073003,21
JOUFFRAY DRILLAUD,301073631,22
SOLEYADE,301075198,21
SOCIETE METALLURGIQUE DE GRAY,301097937,22
AMMERAAL BELTECH SAS,301099537,21
FICHORGA,301099651,21
INTERNATIONAL TRANSPORT ARQUES ROUTE,301099701,21
CITERNORD,301125175,32
THERMO ELECTRON LED SAS,301127759,21
CLINEA,301160750,52
DOLL,301161014,21
BODARD CONSTRUCTION MODULAIRE,301161659,22
VOYAGES RIGAUDEAU,301162129,21
ENTREPRISE BENAITEAU,301163622,21
BAUD MICRO,301164273,21
AURIVA-ELEVAGE,301165254,21
BOBST LYON,301165841,41
CHARLES PERROUD,301166138,22
GRAMARI,301166179,21
ETABLISSEMENTS JEF,301166443,21
SOCIETE COOPERATIVE JURA MONT-BLANC,301166484,21
CABIRON TRAITEUR,301168993,22
LES VOLAILLERS DU DAUPHINE CAPAG,301169447,21
4 M MEREU BTP,301187431,21
VINAS,301188454,21
ETABLISSEMENTS MOTIN FRERES,301191391,22
SOC GERANCE DISTRIBUTIONS EAU,301192803,32
"CAVE TAIN L'HERMITAGE,UNION DES PROPRIE.",301193520,21
GUINARD- SANGAV,301211116,21
ENTREPRISE GAYET SA,301211736,22
ORLEANS GESTION,301212023,21
FRANCE SELECT,301213211,21
AUBELEC,301213476,22
SOCIETE DE MECANIQUE DE THIRON-GARDAIS,301223319,21
ASTOUX ET BRUN,301224358,21
INITIA,301241642,21
DIVABOX,301242772,21
L'HORIZON,301242889,21
PHONE REGIE,301251880,51
QUARON,301252870,32
AUTOCARS DARCHE GROS ET COMPAGNIE,301272035,32
NEOLIA NOTAIRES,301275004,21
"THIERRY THOMAS, ARNAUD HOUIS, ARNAUD GIRARD, MARIE-VIRGINIE DURAND, PIERRE VILLATTE ET JULIE BREMENT, NOTAIRES ASSOCIES",301275285,21
SOCIETE ALIMENTAIRE DE GUIDEL,301275319,21
CLOITRE IMPRIMEURS,301275723,22
MANUFACTURE DE PRODUITS D'HYGIENE,301276127,22
SOCIETE CHAUDRONNERIE ORHAND,301276903,21
"SOCIETE D ETUDES, DE TRAVAUX HYDRAULIQUES ET D'ADDUCTION D'EAU",301291738,22
FONTANEL,301292892,22
SOCIETE D'AFFRETEMENT - TRANSPORTS ROUTIERS L.J.,301293718,21
MESSIKA GROUP,301293999,22
CAEN FROID,301296414,21
ARDENNE PEINTURE EVOLUTION,301296463,21
ROVIP,301296588,21
SMACL ASSURANCES,301309605,42
CROWN WORLDWIDE SAS,301310330,21
CLINIQUE LES PEUPLIERS,301311452,31
TRANSPORTS DELMOTTE,301313359,22
TRACTION LEVAGE,301331922,21
ENGIE HOME SERVICES,301340584,51
SOCIETE CLIMATS,301341012,21
UNION AGRICOLE PAYS DE LOIRE,301341798,32
KILOUTOU ENERGIE,301351029,21
TRANSDEV OCCITANIE OUEST,301351433,32
SOCIETE D'EXPLOITATION DES ETS J. VEYNAT,301351722,32
SAINFRUIT,301352001,22
ECONOCOM FRANCE,301364824,31
ENTREPRISE GIBELLO,301365268,21
LIEBHERR-FRANCE,301374690,42
BLEDINA,301374922,42
GAGGENAU INDUSTRIE,301374997,32
SETEC HYDRATEC,301392569,22
BLANC AERO TECHNOLOGIES,301393161,22
TEXDECOR,301420469,32
TEXTILOT,301420626,41
J.C. BONNEFOY,301422622,22
ETS SABATON,301424131,21
SAINT VALERY DISTRIBUTION,301463196,22
CHAPEL,301465456,22
FIVES CELES,301466934,21
SYSTEME WOLF,301467056,32
TRANSPORTS BARBE,301467726,21
DELTA-NEU,301468146,22
FERMOD,301468211,22
IMAGERIE DES DEUX RIVES,301482394,21
SECNO,301482543,21
SOCIETE MURPROTEC,301499042,21
ETABLISSEMENTS GUY HARANG,301499190,22
GESTION DE SITE ET RESTAUR EN CONCESSION,301499620,22
FRANCIS LEFEBVRE FORMATION,301500104,21
SAFRAN ELECTRICAL & POWER,301501391,42
GESTION 4 CONSEIL,301503066,21
SPL M TAG,301503231,42
THEVENOD SA,301506754,21
TEFAL,301520920,42
TERNOVEO,301521928,31
POCHECO SAS,301522496,21
CONSTRUCTIONS INDUSTRIELLES RENE LENGLET,301522645,21
ENTREPRISE DUFFROY,301522686,21
BISCUITERIE LA TRINITAINE,301522900,22
PUBLI DECOR,301523023,21
SYNLAB SYLAB,301523056,22
BUTACHIMIE,301523460,32
BAOBAG,301523791,21
AUTOCARS SCHMITT,301546610,21
HERBRICH EXPRESS,301546800,21
PROVENCE MATERIAUX,301549648,22
APAVE ALSACIENNE SAS,301570446,41
SOCIETE DE TRANSPORTS INTERURBAINS DU VAL D'OISE,301571147,32
SOUCHON BOISSONS SERVICES,301571618,21
DIRAMODE,301571931,22
COOP AGR.PRODUCTION-ELEVAGE QUERCYNOISE,301572715,22
BESSAC,301589347,22
SOCIETE DU BRIQUET JETABLE 75,301590915,32
ERAMET IDEAS,301608634,22
SVP TRANSPORT,301610465,21
LES TOMMEUSES,301619235,21
SCHNEIDER ELECTRIC ALPES,301619714,32
ZOLPAN,301621884,21
JARDIN-LOISIRS 28,301627329,21
SOCIETE DE GESTION DES CLINIQUES D'EPINAL REUNIES,301637609,32
MESSENT,301637740,21
AUTOLUBRIFICATION PRODUITS SYNTHESES,301639290,21
COOPEL,301641411,21
DEFONTAINE,301669297,21
ATLANTIQUE PRODUCTIONS,301669693,22
RESCASET CONCEPT,301669735,21
ATELIER DE REALISATIONS MECANIQUES,301670188,21
PRODITION,301689790,22
SOC TOUBOULIC MACHINES AGRI,301691945,21
SOCIETE LA CREQUOISE,301710349,22
BARDINET,301711461,31
SOCOPA,301711628,21
CENTRE DES JARDINS DUVAL,301762274,21
ALLIANZ PARTNERS SAS,301763116,32
SCP NAZ-PACAUD-PARIZZI-MUGNIER-VIVANCE-LALLEMANT,301763231,21
CEVA SANTE ANIMALE,301763405,42
BUHLER SAS,301764320,21
FIBERTEX NONWOVENS,301765798,22
DUO SOLUTIONS ENTREPRISES,301765822,21
ETABLISSEMENTS COSTE MACHINES AGRICOLES - CMA,301767729,21
TFE TECHNIQUES ET FABRICATIONS ELECTRONIQUES,301768339,21
MECANIQUE TOLERIE SERRURERIE,301768859,21
PNEUS PIRELLI,301768867,21
SOCIETE PREVOTE-LOCATION,301770053,22
"MAITRES MATHIEU DURAND, OLIVIER SANTELLI, DIMITRI DE ROUDNEFF, MARTINE AFLALOU-TAKTAK, ALEXANDRA PEYRE DE FABREGUES, LUD",301771564,21
ITESYA,301793881,21
SO.DI.GAR.,301795597,32
BLOC FEU PROTECTION SAUVEGARDE PATRIMOI,301850251,21
STIME,301850277,41
TRANSPORTS GUY ROBIN,301852026,31
SEQUANO AMENAGEMENT,301852042,21
SCT SPORT,301856951,21
CATIDOM,301857942,21
SICA OUEST ELEVAGE,301859351,21
ROWENTA FRANCE,301859880,31
CHANEL SAS,301861126,22
S.B.T.N.,301861530,21
SELIA,301861886,22
KWS FRANCE,301862231,32
GEODIS D&E VALENCIENNES,301862603,31
LES CARS LE VACON,301864062,21
LE CAILLEBOTIS DIAMOND,301864344,22
SAINTES ABBAYE MAINE,301864450,22
ETABLISSEMENTS GIRAUD-DELAY,301865630,21
GENERALE D EXPANSION,301894630,21
SAS QUINTANA,301896585,21
OUTINORD SAINT AMAND,301896619,31
OET,301897278,32
HOTEL-RESTAURANT DE LA BUTTE,301897484,21
MON LOGEMENT 27,301898037,21
SAINT CHRISTOPHE,301898714,22
MAISON DE REPOS ET DE RETRAITE CENTRE DE GERONTOLOGIE LE CHATEAU DE VILLEMOISSON,301919924,21
EDENAUTO PREMIUM BEZIERS,301920419,21
TECHNI FREINS,301920666,21
SFS GROUP SAS,301921201,32
COMEDIE DE CAEN - CENTRE DRAMATIQUE NATIONAL DE NORMANDIE,301921532,21
FUJITSU TECHNOLOGY SOLUTIONS,301940011,32
SODEXO,301940219,32
BATIMPRO - CHARRIER,301940979,21
KEOLIS ATLANTIQUE,301941332,32
BIOLIX,301968715,21
STRADAL,301984563,41
COOP EDITION VIE MUTUALISTE,301985594,21
ATULAM,301985990,22
SOCIETE COOPERATIVE D'APPROVISIONNEMENT PARIS-EST,301986154,41
HUGUET INGENIERIE,302000211,21
RIDORET MENUISERIE,302001797,32
TRANSPORTS GARAGE LAVAL,302003330,21
CHARPENTE MENUISERIE ROUSSEAU,302004460,22
ROCHA,302020532,31
PARALU,302044557,22
TRANSPORTS BOUSQUET,302044854,21
ORECA,302045794,22
DESCOTE S.A.S.,302046586,21
LDC BRETAGNE,302049168,31
EIFFAGE ENERGIE SYSTEMES - POITOU CHARENTES,302068382,32
GLENAT EDITIONS,302069414,21
FUNECAP SUD EST,302077169,32
BANQUE FIDUCIAL EN ABREGE FIDUBANQUE,302077458,22
GARAGE DES TAXIS G 7,302077516,21
KUBOTA EUROPE,302077565,32
PAULE KA,302077987,21
VKR FRANCE,302078217,32
NESTLE PURINA PETCARE FRANCE,302079462,42
SOC ROMANAISE DE LA CHAUSSURE,302097993,22
PARCUS,302114996,21
MORANCE SOUDURE,302116728,21
FTFM LA TOULOUSAINE,302117775,32
TECHNISYNTHESE,302135256,22
SAVOIRSPLUS,302135405,22
RENAUD SA,302135413,22
LAFARGE CIMENTS,302135561,42
SYMATESE,302135900,21
ARMOR CUISINE,302136098,21
HAUTOT JEAN ET FILS,302136494,21
LARDIDEN,302136718,21
SAGECO,302137435,21
SOCIETE BOUVERAT PERNAT,302148705,21
SEGUR DISTRIBUTION,302149059,21
JEAN LUTZ SA,302149091,21
STEELCASE SAS,302162623,41
ENTREPRISE PARISIENNE DE FUMISTERIE ET DE DESINFECTION,302177605,22
SA GOURIN DISTRIBUTION,302181151,21
BANQUE COURTOIS (SUCCESSEUR DE L'ANCIENNE MAISON COURTOIS & CIE DEPUIS 1760),302182258,41
SECTRONIC,302182753,21
ETABLISSEMENTS SEGUREL ET FILS,302204235,31
HORIZON NORMANDIE,302204516,21
PORTAKABIN,302207105,22
PERNOD,302208301,41
FRANCE DISTRIBUTION,302208616,22
BERRY SUPERFOS BOUXWILLER,302236856,22
ALPHAFORM,302238829,31
SA IMPRIMERIES DE CHAMPAGNE,302238837,21
ATELIERS D'ARMANCON,302264262,41
RAPIDO,302279229,32
PHILIPPE OUAIRY FRAN OIS BUIN ET CEDRIC DE GIGOU NOTAIRES ASSOCIES D'UNE SOCIETE CIVILE PROFESSION- NELLE TITULAIRE D',302280060,21
JACQUET,302280755,22
ADESIA,302280862,21
COMAP SA,302304068,32
GEFCO FORWARDING FRANCE,302304373,22
CLARIANT PRODUCTION (FRANCE),302305529,21
CRENO IMPEX,302306592,21
PYRENEX,302306626,22
WEST PHARMACEUTICAL SERVICES FRANCE S.A,302333075,41
PNEUS ET CAOUTCHOUC,302343397,21
ENTREPRISE GARDES ET LAROCHE,302344007,21
COLBEAUX,302344718,21
ACMAR,302354261,21
SOCIETE DES CLINIQUES DU MIDI,302355540,31
DOCKS MATERIAUX DE L OUEST,302364211,41
SANFRE,302365192,21
SETRALOG,302382890,22
SOC VALENTINO COUTURE,302394572,22
SOCIETE PARISIENNE DE PRODUITS ET MATERIAUX,302394861,22
SOC DENTALCOCERAM,302411517,21
SAS SEB,302412226,41
RITTAL SAS,302430657,21
IDEME,302432711,21
POLYMONT ENGINEERING,302450911,32
"PERNOD RICARD EUROPE, MIDDLE EAST AND AFRICA",302453592,21
KEOLIS MONTLUCON,302453667,21
INTEL CORPORATION SAS,302456199,41
BOUVARD ALINA INDUSTRIE,302456991,32
STYL'MONDE,302458344,22
RENAULT TRUCKS MARSEILLE,302472501,31
NATURALIA FRANCE,302474648,42
PSA RETAIL FRANCE SAS,302475041,51
NEO RESEAUX,302475405,21
CAMILLE FOURNET,302475611,32
MEDIABRANDS,302475728,31
PATISSERIES GOURMANDES,302476106,41
SARL RENZ,302476213,21
REPUBLIQUE AUTOS,302477500,21
CEGI-SANTE,302491584,21
SOCIETE PERI,302491659,22
CREDIT LOGEMENT,302493275,32
TOP CHRONO,302493416,32
VISSERIE SERVICE SA,302494224,21
ESPACIL HABITAT SA D'HABITATIONS A LOYER MODERE,302494398,32
ANJOU MAINE CEREALES,302494950,22
CAFE DE FLORE,302507108,21
THYSSENKRUPP PRESTA FRANCE SAS,302507652,41
TRANSPORTS BUTTGEN,302507702,21
SOC NICOISE REALISATION THERMIQUE,302510151,21
SOCIETE DE DISTRIBUTION DU NORD VENDEE,302517917,22
DUC DISTRIBUTION,302519368,22
BONCOLAC TRAITEUR,302527619,22
TRANSPORTS INTERNATIONAUX DU TARN,302528500,21
SOCIETE MARITIME MARSEILLAISE SIDERURGIE,302543319,22
ITAL EXPRESS,302543954,21
TRANSPORTS DUBOC,302557830,22
ETABLISSEMENTS CHAPUIS,302557939,21
UNION DES VIGNERONS DES COTES DU RHONE,302558622,22
KINGSPAN LIGHT AIR,302565544,32
DELCROIX TP,302565767,21
TRANSPORTS PASCAL,302571724,21
STO,302571732,32
SOLORMAG,302572227,41
AMCOR SPECIALTY CARTONS FRANCE SAS,302572813,22
POLYEXPERT PYRENEES AQUITAINE,302588207,22
SAIPEM SA,302588462,42
LOUIS BERGER,302588801,21
ONYX AUVERGNE RHONE ALPES,302590898,41
INTERTEK FRANCE,302607486,32
METEX NOOVISTAGO,302607676,32
PALFINGER FRANCE,302607700,21
BB GR,302607957,41
ETCHART ENERGIES,302608625,21
WALTER-FRANCE,302635891,21
DOMAINE LES CRAYERES,302636618,22
W L GORE ET ASSOCIES,302638929,21
COMPTOIR INDUSTRIEL REGIONAL,302639877,22
RAUTUREAU APPLE SHOES,302640008,31
TOKHEIM SOFITAM APPLICATIONS,302640610,21
CASSAGNE ELECTRICITE ET TRAVAUX PUBLICS,302656442,21
STOLZ SEQUIPAG,302664792,22
ENTREPRISE AMICA SA,302694922,22
IQVIA HOLDINGS FRANCE SAS,302695432,32
KONICA MINOLTA BUSINESS SOLUTIONS FRANCE,302695614,42
BANQUE TRANSATLANTIQUE,302695937,32
COPEPORT,302698634,21
SPIE BATIGNOLLES MALET,302698873,42
CLINIQUE LA BRIERE,302701180,21
VIVESCIA,302715966,41
COMPAGNIE FINANCIERE DE PARTICIPATION,302716535,21
MIDI PYRENEES SCELLEMENT,302717269,22
SOCIETE COOPERATIVE VINICOLE DE LA VALLEE DE LA MARNE - COVAMA SIGLE COVAMA . NUMERO D'AGREMENT N.23.62 SOCIETE COO,302727037,21
SOCIETE COOPERATIVE AGRICOLE CAPDEA,302760210,21
SOC COOP AGRICOLE REGION ARCIS-SUR-AUBE,302768296,21
S A L OSPEDALE,302791694,31
"PHILIPPE DAMBIER, PIERRE HOUZELOT,FABRICE GAUTHIER, HERVE DESQUEYROUX, ANTOINE MAGENDIE, EDOUARD BENTEJAC, OLIVIER LASSE",302817283,22
INSTITUT DES METIERS DE SAINT ETIENNE,302847892,21
LE PARC,302923149,22
COOP LAITIERE DE YENNE PORTE DE SAVOIE,302957089,21
CLINIQUE D'ARGONAY,302957741,22
CRCAM DES SAVOIE,302958491,51
FERME DE LA TREMBLAYE,303032668,21
DYNAPLAST,303074538,31
SOC IMMOBILIERE DE LA GUADELOUPE,303091086,22
SOCIETE GENERALE DE TRAVAUX,303091227,22
SOCIETE DE FABRICATION DE GLACES ET DE CREMES GLACEES,303094395,21
SOCIETE GUADELOUPEENNE DE VENTE D'AUTOMOBILES,303095186,21
SOC DES CIMENTS ANTILLAIS,303095251,21
SOCIETE DES GRANDS MOULINS DES ANTILLES,303095277,21
SOCIETE DES EAUX THERMALES DE CAPES DOLE,303104467,21
BOULOGNE MATERIAUX,303120638,21
SA HLM DE LA GUADELOUPE,303121255,21
SARL CHANTIERS AUDEBERT ET COMPAGNIE,303121297,21
STE HOTELIERE ET TOURISTIQUE DE GUADELOUPE,303121875,22
SARL BLANCHISSERIE DU SOLEIL,303124135,21
SARL RAYMOND GABRIEL ET COMPAGNIE,303138796,21
COTTRELL,303148993,21
SOCIETE OZANAM S.A HABIT LOYER MODERE,303149983,21
BELLONIE ET BOURDILLON SUCCESSEURS,303159859,21
RHUMS MARTINIQUAIS SAINT-JAMES,303159883,21
SOCIETE TOURISTIQUE DE LA POINTE DU BOUT,303160246,22
SOMAFI-SOGUAFI,303160501,22
DENEL CONFITURE & JUS DE FRUIT TROPICAUX,303167514,21
ANTILLES GLACES,303169775,21
SOCIETE COMMERCIALE DE LIBRAIRIE DE LA MARTINIQUE,303171573,21
AIR LIQUIDE ANTILLES GUYANE,303171672,21
SOCIETE IMMOBILIERE DE LA MARTINIQUE,303188528,21
ANTOINE ABCHEE ET FILS,303195200,21
GE HEALTHCARE SAS,303215123,21
ALSACIENNE DE PROPRETE,303215511,21
SOCIETE D'EXPLOITATION DU SUPERMARCHE DE PAIMBOEUF,303217202,21
ESPACE TOY,303217368,22
PAUL CHAMPS,303217640,21
PIQUAND TP,303229447,21
AGROBIOTHERS LABORATOIRE,303229504,22
SOC ETS ORSINI ART STYLE,303230296,21
COMPAGNIE GENERALE DE LOCATION D'EQUIPEMENTS,303236186,41
TRANSPORTS PEJY,303243018,21
PAVAN,303252076,21
SOTHEBY'S FRANCE S.A,303263735,22
SODIMAS,303265045,31
BERNIS TRUCKS,303273759,31
DEPOTS AUTO SPORT INDUSTRIE RHODANIEN,303274229,21
PERSONNIC,303274716,21
RAGNI,303275473,21
SOCIETE D'ETUDE DE REALISATION ET D'EXPLOITATION POUR LE TRAITEMENT DU MAIS,303283592,32
EDEN,303292262,22
AUTOCARS BURLE SA,303292486,21
SOCIETE RENE JULIEN,303301238,22
T 2 S,303302798,21
TRANSDEV BOUCHES DU RHONE,303304208,31
ETABLISSEMENTS MOTTEZ ET COMPAGNIE,303321152,21
ENTREPRISE CORDIER,303321582,22
CREATION ET TECHNIQUES NOUVELLES,303322408,21
BLANC EXPERTS COMPTABLES,303324487,21
ETABLISSEMENTS BOTREL,303336465,21
SOCIETE GENERALE DE NETTOYAGE ET D'ENTRETIEN,303354732,32
TRILLES,303355408,21
VILOFOSS,303355473,21
DIFFUSION EQUIPEMENTS LOISIRS,303355671,31
ETABLISSEMENTS ROCHES,303357222,21
SOCIETE D EXPLOITATION DE LA CLINIQUE DE LA COSTIERE,303358196,21
LUMINO,303358238,21
SAINT LEGER DISTRIBUTION,303374615,21
EDITIONS LITO,303374904,21
FLASH DISTRIBUTION,303375372,21
MIRION TECHNOLOGIES (MGPI) SAS,303375406,32
DARTY GRAND EST,303376586,51
FOP - PAVIE,303407514,22
ELIOR SERVICES PROPRETE ET SANTE,303409593,53
TOYOTA MATERIAL HANDLING FRANCE,303409619,41
VOYAGES LEFORT,303410641,22
J LANFRANCO ET COMPAGNIE,303411078,21
AILE MEDICALE,303411458,21
PHILIPPE MANUTENTION,303413611,22
AUTAJON LABELS CLERMONT-FERRAND,303433742,21
SILLIKER,303434591,41
VOYAGES MASSON,303435010,22
S.D.S.,303436653,22
GE ENERGY SERVICES FRANCE,303447338,22
FRIGO TRANSPORTS 62,303448252,21
AUGE MICROTECHNIQUE,303458574,22
CLINIQUE DE REGENNES,303467146,21
PIGEON PREFA,303468326,21
CREDIT ET SERVICES FINANCIERS,303477319,32
SOCIETE PALL FRANCE,303494165,31
MORITZ SA SOC EXPLOIT,303506471,21
SOCIETE AUXILIAIRE DE GARANTIES,303507776,21
ETABLISSEMENTS BAIZET SA,303512818,21
AUDIT CONSEILS,303513592,21
FLECHARD SAS LAITERIE DU PONT MORIN,303514004,22
AGC VERTAL SUD-EST,303514418,21
OMEGA INGENIERIE,303514715,21
FIDUCIAIRE AUDIT CONSEIL,303526966,21
YGNIS INDUSTRIE,303527154,22
AMBULANCES BERJALLIENNES,303527162,21
LDC AQUITAINE,303527501,32
ORION,303528590,22
SOCIETE CORSE DE BOISSONS BASTIA,303528939,21
CEGEDIM OUTSOURCING,303529184,22
IMPRIMERIE TREMOUILLAT FOUQUET,303543169,21
SOCIETE ELECTRO TECHNIQUE DE L'OISE,303544365,21
DENUZIERE SA,303558753,21
BG INGENIEURS CONSEILS,303559249,22
MAISON DE SANTE SAINTE-MARGUERITE,303574388,21
GTLE TRANSPORTS,303574917,22
TRANSPORTS GARDON FRERES,303575930,21
BRIOCHE ET VIENNOISERIE THOMAS,303586432,21
POLYCLINIQUE DU PARC RAMBOT - HOPITAL PRIVE DE PROVENCE,303589055,41
COMPAGNIE GENERALE DE RESTAURATION,303599732,21
LESSARD T.P,303602411,21
GROUPE GAILLARD,303616304,22
BERNIER ESSONNE,303625792,22
SUD VENDEE DISTRIBUTION,303644850,31
NM MEDICAL,303645626,21
PERNOD RICARD FRANCE,303656375,41
EUROPCAR FRANCE,303656847,42
MAISON LE MARQUIER,303663462,21
PREMIER TECH GHA,303664031,21
SEDIBEX,303687867,21
LOCATION TRANSPORTS IZARET CHARENTE,303689418,21
LIFE TECHNOLOGIES SAS,303696769,22
ALLIANCE AUTOMOBILES,303708325,21
TRANSPORTS ARCHEREAU,303709406,21
SUPER MARCHE PAYOT PERTIN SA,303731467,21
BURDA DRUCK FRANCE,303742878,22
CMC,303754295,32
"CHRISTOPHE MONTRE, GUILLAUME CARTIER, AMAURY L'HERMINIER ET ELISABETH BOUTON-HUGUES, NOTAIRES ASSOCIES",303764195,21
BRITISH AMERICAN TOBACCO FRANCE,303765630,32
CAFE BRASSERIE LE SUFFREN,303767032,21
SARP INDUSTRIES,303772982,32
XENITRANS,303773808,21
TRIGANO JARDIN,303773923,22
SOCIETE NOUVELLE DES AUTOCARS SANTA-AZUR,303775340,21
BAVARIA AUTOMOBILES,303775753,21
VAESKEN,303782130,21
PRODUITS DE REVETEMENT DU BATIMENT,303789127,32
REPOTEL,303804025,21
LES MENUISERIES ARIEGEOISES,303804553,22
SOCIETE VANSEENNE DE DISTRIBUTION,303816854,21
CLINIQUE DU MOULIN,303829444,21
ETABLISSEMENTS PEILLET,303829824,21
CLINIQUE CHIRURGICALE D'ATHIS,303845325,21
ROTH FRANCE,303846976,22
G. JACQUEMMOZ ET FILS,303858740,32
SIM 45,303877153,32
THALES INTERNATIONAL SAS,303889307,22
CARDEM,303890081,32
ETABLISSEMENTS MAINGRET,303890503,22
THALAMER,303890602,22
SERBOIS,303915474,21
NICE - M,303916498,22
ANTARTIC,303937494,32
VALENTE,303937767,21
CALBERSON ARMORIQUE,303939417,32
FOURNITURES HOSPITALIERES INDUSTRIE,303939755,21
SOCIETE DES TRANSPORTS DU BASSIN CHELLOIS,303952675,22
EIFFAGE CONSTRUCTION CONFLUENCES,303954002,22
TRANSPORTS LARDON,303955926,21
SOMFY ACTIVITES SA,303970230,42
BAIKOWSKI,303970388,22
PIPELIFE FRANCE,303972525,21
COPROMER TRANSPORTS,303993257,31
HYDAC,303993562,22
BECKER SAS,303994347,22
AUTOCARS R. SUZANNE SA,303995054,22
IN EXTENSO CAEN,303997613,21
FLOW CONTROL TECHNOLOGIES,304012818,22
EDAC,304046436,22
"MES CATHERINE ELUARD-PRAQUIN, HERVE GAMBERT, JACQUES GRANIER ET ANTOINE BONNIN NOTAIRES ASSOCIES D'UNE SOCIETE CIVILE PR",304047442,21
SERVICES GROUPE,304054182,22
RHONE PLACAGES & COMPOSANTS,304098353,21
CLINIQUE SAINT JEAN-L'ERMITAGE,304100332,31
DAUGERON ET FILS,304101264,21
CHROME NETTOYAGE,304103708,22
SOC INVESTISSEMENTS HOTELIER TOURISTIQUE,304103922,21
FIVES SYLEPS,304154628,32
SOCIETE ANONYME DE TUYAUX DE MATERIAUX ET D'AGGLOMERES,304154651,22
INOXYDABLE FRANC-COMTOIS,304155062,21
INTER-SERVICE,304165962,31
RENEL,304179211,21
CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,304187701,51
SCP FRANCE,304189004,22
SOCIETE D'USINAGE DES METAUX PLAQUES ACIERS RECTIFIES,304217243,22
IN'LI SUD OUEST,304234636,21
COMPTOIR CARAIBE D ' IMPORTATION ET D ' EXPORTATION,304234990,21
FALAISE DISTRIBUTION,304235559,22
ENTREPRISE RAPITEAU ET SES FILS,304235633,22
PRP CREATION,304249352,22
BURGAUD SAS,304263510,21
KERRY SAVOURY INGREDIENTS FRANCE,304263940,21
WARGNY LELONG ET ASSOCIES NOTAIRES,304265143,21
SOGEBA TRAVAUX PUBLICS,304292931,21
SOCIETE JOLY ET PHILIPPE,304305931,21
OMBRES BLANCHES,304306947,21
CLEAN SERVICE - WASH MOQUETTE,304317282,41
BAXTER S.A.S,304317357,32
BESSON CHAUSSURES,304318454,21
IMMOBILIERE ATLANTIC AMENAGEMENT,304326895,32
ATEQ,304327133,22
LE PETIT FILS DE L. U. CHOPARD FRANCE,304348691,21
GSF PLUTON,304349277,42
RELATIONS MARCHANDISES SERVICES DISTRIBU,304352768,32
CHD NEMOURIENNE GESTION COMPTABLE,304365463,21
SOMYCEL,304366362,21
ENTREPRISE DE PLATRERIE LAYE,304367220,21
LA SOMADIS,304381767,21
AUTOMATIC SYSTEMS,304395973,22
JACQUES BOGART SA,304396047,21
MAGOTTEAUX SA,304398563,22
CHARENTON TAXIS,304423452,21
MOBILIS,304424914,22
SOCIETE LESAGE & FILS,304424963,21
ETABLISSEMENTS FRIGERAL,304428253,21
TRANSPORTS LOMBARD,304439706,21
SA TORCHIO ET CIE,304440084,21
PIERRE PEZET SAS,304452725,21
KEESING FRANCE,304452972,22
LOCABRI,304453160,21
LA FROMAGEE JEAN YVES BORDIER,304454150,22
SOCIETE COMMERCIALE LIMOUSINE,304454788,21
AUTOMOBILES REPARATIONS NEUVES OCCASIONS,304455298,32
LAUAK FRANCE,304464084,41
SOCIETE DE LA FROMAGERIE BOURSIN,304465461,22
GLOBAL BUSINESS TRAVEL FRANCE,304475338,41
ENTREPRISE CHANUT,304476047,21
GEODIS D&E LORRAINE,304487952,22
SECURITAS FRANCE SARL,304497852,53
BIOPOLE 66,304498702,22
LES CITERNIERS BRETONS,304499627,31
SIEMENS LEASE SERVICES,304505050,21
DOUCE HYDRO,304536915,22
CONSTRUCTIONS DE GIORGI,304540883,22
DE PARTICULIER A PARTICULIER - EDITIONS NERESSIS,304555154,22
SOCIETE D'IMPORTATION DE DIFFUSION OU DISTRIBUTION D'ARTICLES DE SPORT,304577661,21
ALAIN AFFLELOU FRANCHISEUR SAS,304577794,22
ETABLISSEMENTS BOUTILLET SAS,304600927,22
CLINIQUE DU CAP D OR,304601685,22
COOPERATIVE U ENSEIGNE,304602956,41
SAGEA,304603707,21
ENGINEERING SYSTEMS INTERNATIONAL,304605298,21
DAIMAY FRANCE SAS,304613912,32
BERT PROVENCE,304615529,21
SIRAC,304623366,22
ITW EF&C FRANCE SAS,304624224,22
SOMAFER,304634405,21
FRANPRIX LEADER PRICE-DIRECTION SUPPORT,304634975,32
ISRA,304635451,21
NANTES PNEUMATIQUES,304636053,21
FIMUREX MEDITERRANEE,304646458,22
MECALAC FRANCE,304653553,31
KEOS CRETEIL BY AUTOSPHERE,304668478,21
SOC LA SPIROTECHNIQUE,304668502,22
ISERE DISTRIBUTION,304688922,31
VITRE DISTRIBUTION,304690332,31
PERODIS SA,304708597,22
SAINT MAIXENT DISTRIBUTION,304708662,31
OLANO SERVICES,304710916,21
ETABLISSEMENTS BIGNON JACQUES SAS,304719701,22
